opt,func,exec_time,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30
PSO,Sphere,318.87431144714355,79.99804118519285,84.68305572936491,84.40896310720036,54.374408550892106,1.5015632554106515,120.9186958366633,28.23835049929401,84.53469375120501,30.17469113269485,29.534450885776824,52.838608849358515,2.789846873121658,135.73067247850952,83.70587821300121,100.06618227350805,26.966211311811552,65.07929386782814,82.9814400632462,82.48224513383626,79.73837887192843,111.2096768625583,51.68447005289571,53.22863915041106,157.41745213878016,79.38498176852173,49.94487648404681,110.5896328773012,107.3100182254696,52.83474454615605,52.79858001558208
PSO,RotatedHyperEllipsoid,883.1023743152618,757631.4215447892,857696.4448131388,613581.1040566686,514677.8350474446,727923.2109775383,167153.9693969388,182307.55386777112,804716.3009444633,1162349.6236678585,603055.2991235348,677230.6842359216,614765.1403464889,525453.4031410825,746781.0072856939,437261.9998248561,1008177.9130607966,603458.1032739568,241399.31074107424,297509.75684827,361995.8751208517,813126.64876212,523231.871635234,484880.915177149,517500.57335617405,1001583.1318788064,842129.7328134719,1057163.4016873457,965959.4643738477,859875.5542999111,1051147.6560933704
PSO,Rosenbrock,350.4699327945709,589938.7784846672,415301.41192779073,318757.6204522519,446411.13360192213,628802.044951815,453424.74865355,510769.6173855017,699734.4888990625,1503779.314324739,362927.13345382316,516729.9633271366,377835.40188593895,579054.2454819581,636825.1016889109,449758.7082752478,927943.9559990658,745337.322030297,506414.26616027515,801843.2508488373,411060.74832853925,533320.7926596239,267489.6280922067,452256.00345740584,1782915.5770027721,890338.338764422,547281.3406354635,1183751.7889133112,394166.8838832248,418115.2069916145,904084.9185993227
PSO,Dixon-Price,454.96321654319763,9999624.744350543,2745165.7386782975,75616.15534099416,14973544.214684991,2001785.3248204223,4491524.2914925795,37459.37536635972,6509428.852122046,6282768.928622467,12119737.013159636,455125.9545546557,1708011.2189966564,4920888.719389222,8792873.711937599,21347813.130156208,9001514.033680553,1725402.8995375196,2671929.3754418935,3566764.8070407766,14411503.078754812,9166567.760278866,10662510.904234521,1381187.7171314305,2020921.8793209495,3805449.6660739123,3135701.43536917,4193392.9079746096,4208316.725618546,6051011.764372522,1337610.749333619
PSO,Quartic-Noise,378.87150406837463,377.6046929272125,154.24689324273368,238.42382051433,103.1836680229033,151.20612448105143,38.63458308210219,134.99144368778389,54.85368173104339,66.26901362847315,143.65532826845094,157.51550317979152,74.81370229534036,274.780995763579,66.09455436788613,236.6386642420753,59.320986418399634,86.1159347664961,223.2785308943366,335.8703638618562,38.29039009897609,102.47461885074213,278.02024354166446,50.52825568329975,88.88343322256996,100.0070579884926,100.72801754527734,341.94016868627824,258.5637950261874,176.8591140688371,77.52914888433622
PSO,Generalized-Shwefel,324.5268702507019,14343.183595243889,11443.425951007834,15115.675166430912,12704.889278909508,14035.738686015731,12470.863947682072,10593.036620438688,12105.001466816244,12524.163660167906,13744.039630502677,12225.497660059922,17567.559233669315,14919.374718983549,12860.866383148765,14479.163058936738,12229.418703775817,14308.327289167992,14404.99677338088,15244.95791712042,14862.718179298256,12888.896770304938,16145.149952743479,13916.026658352548,14598.960977591978,11776.035625085708,13699.233427034735,18448.06219321494,12505.402957891452,14129.577428702261,13582.106504021496
PSO,Rastrigin,383.60965752601624,700.6890591251407,668.8804235379363,667.7452646011842,705.7634294212789,659.3284732705054,617.6462662902566,762.0183187599632,714.6512084939526,782.56925609139,706.885666804804,684.9591795174551,695.2964832466085,691.9161504071094,804.9471579800868,657.1307053184207,724.1048087711692,643.6419749635377,698.8095448764093,714.2065670134652,620.9616996258815,740.2867398724045,674.325449561612,654.8535395586139,594.33801130961,719.8982666597894,735.5359586554243,691.1772628061333,720.603097222498,795.509941889187,592.5687780075832
PSO,Ackley,335.13866209983826,18.41044514352031,18.07347367822579,18.18723666322749,18.72229191287411,18.70531764560866,18.44730773826153,17.975529365545825,17.046585165901995,18.373270865702445,18.717961144743875,17.91029923831824,16.638281669913372,17.557300545643965,18.186330068581288,18.93988668497102,18.494531346906346,18.90825582185745,16.45504036244736,19.1137850028605,18.575425563748606,17.418299690674697,17.55111333325004,17.31458408263729,18.019558562569248,17.115678056730722,19.453940428243715,18.931724332575595,16.608725911555496,17.469858818909362,17.87701791426838
PSO,Griewank,378.3888521194458,5.692066202476829,186.6616895843591,97.35004416460464,458.17357994962424,376.40464292832553,285.21851681499726,101.03693139836464,2.404675914851814,272.5242041227363,3.610279568943682,108.73760290046823,224.74678429182003,452.2329210320006,337.3767260451835,15.464612981244208,450.51510283915394,93.21279076229278,97.03268887780025,181.72943624235083,362.3106795844753,186.58429552636113,185.33523782193328,281.62923486514313,311.2089253659201,285.5135403094395,99.96641590258392,94.10090164600852,364.1491183511921,10.636313031088191,277.90891518151966
PSO,Levi,452.2058289051056,10.519542346723203,10.042842409994396,9.371408532509857,9.27194439448718,8.618016344177938,10.309449616837437,9.890238700249363,9.325618810922641,9.017510071426589,10.071942183223655,8.254590695481703,7.172261379669594,9.277750708737262,7.203165701768326,7.236924229392131,9.68887961430411,8.651031654123313,10.41097306389728,7.3802944883239965,7.996131397516093,12.195901805101034,9.730769615202785,9.910370216741143,7.066743185479202,7.46457181324099,8.423205700833952,8.131958305742716,11.24562841777161,9.131690444239949,7.746909847795694
